#
# Transition date estimate for bartlettir
#
# Site: bartlettir
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2016
# Final Processing Date: 2020-03-19
# Final Processing Time: 16:13:29
# Spline RMSE gcc_mean: 0.00365
# Spline RMSE gcc_50: 0.00382
# Spline RMSE gcc_75: 0.00345
# Spline RMSE gcc_90: 0.00359
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bartlettir,DB,1000,falling,gcc_90,2010-10-07,2010-09-30,2010-09-21,2010-10-08,2010-10-02,2010-09-24,2010-10-04,2010-09-27,2010-09-20,0.38733,0.40144,0.4289,0.38035,0.47251
bartlettir,DB,1000,falling,gcc_90,2009-10-04,2009-09-30,2009-09-23,2009-10-06,2009-10-01,2009-09-25,2009-10-02,2009-09-28,2009-09-22,0.3741,0.38824,0.41746,0.36367,0.46904
bartlettir,DB,1000,falling,gcc_90,2008-09-30,2008-09-26,2008-09-21,2008-10-02,2008-09-27,2008-09-22,2008-09-28,2008-09-24,2008-09-20,0.37809,0.39201,0.42007,0.36964,0.46743
bartlettir,DB,1000,falling,gcc_75,2016-10-07,2016-10-02,2016-09-24,2016-10-10,2016-10-03,2016-09-27,2016-10-04,2016-09-30,2016-09-23,0.38733,0.40057,0.42817,0.3779,0.47451
bartlettir,DB,1000,falling,gcc_75,2015-10-10,2015-10-06,2015-09-29,2015-10-11,2015-10-07,2015-10-01,2015-10-08,2015-10-04,2015-09-27,0.37987,0.39427,0.42454,0.37081,0.47794
bartlettir,DB,1000,falling,gcc_75,2014-09-26,2014-09-23,2014-09-17,2014-09-28,2014-09-24,2014-09-19,2014-09-24,2014-09-21,2014-09-16,0.40299,0.41452,0.44052,0.39568,0.48001
bartlettir,DB,1000,falling,gcc_75,2013-10-01,2013-09-27,2013-09-20,2013-10-03,2013-09-28,2013-09-22,2013-09-28,2013-09-25,2013-09-19,0.38435,0.39632,0.42599,0.37624,0.47243
bartlettir,DB,1000,falling,gcc_75,2012-10-01,2012-09-26,2012-09-18,2012-10-14,2012-09-27,2012-09-20,2012-09-28,2012-09-24,2012-09-17,0.37409,0.38609,0.4155,0.36491,0.46463
bartlettir,DB,1000,falling,gcc_75,2011-10-08,2011-10-01,2011-09-19,2011-10-09,2011-10-03,2011-09-22,2011-10-05,2011-09-28,2011-09-18,0.38059,0.39655,0.42283,0.37376,0.46712
bartlettir,DB,1000,falling,gcc_75,2010-10-05,2010-09-27,2010-09-20,2010-10-07,2010-09-29,2010-09-22,2010-10-01,2010-09-25,2010-09-18,0.38985,0.40276,0.4262,0.38167,0.46801
bartlettir,DB,1000,falling,gcc_75,2009-10-04,2009-09-30,2009-09-23,2009-10-06,2009-10-01,2009-09-25,2009-10-02,2009-09-28,2009-09-22,0.37186,0.38596,0.41585,0.36244,0.46756
bartlettir,DB,1000,falling,gcc_75,2008-09-30,2008-09-26,2008-09-20,2008-10-02,2008-09-27,2008-09-22,2008-09-28,2008-09-24,2008-09-19,0.3768,0.39045,0.42389,0.36809,0.46986
bartlettir,DB,1000,falling,gcc_50,2016-10-06,2016-10-01,2016-09-24,2016-10-08,2016-10-02,2016-09-26,2016-10-03,2016-09-29,2016-09-22,0.38358,0.39921,0.42371,0.37538,0.47203
bartlettir,DB,1000,falling,gcc_50,2015-10-10,2015-10-06,2015-09-27,2015-10-12,2015-10-07,2015-09-30,2015-10-08,2015-10-04,2015-09-26,0.37604,0.38889,0.42273,0.36583,0.47406
bartlettir,DB,1000,falling,gcc_50,2014-09-25,2014-09-22,2014-09-17,2014-09-27,2014-09-23,2014-09-19,2014-09-23,2014-09-21,2014-09-16,0.39961,0.41281,0.43527,0.39245,0.47505
bartlettir,DB,1000,falling,gcc_50,2013-10-01,2013-09-27,2013-09-20,2013-10-04,2013-09-28,2013-09-22,2013-09-28,2013-09-25,2013-09-18,0.3804,0.39215,0.41963,0.37151,0.46615
bartlettir,DB,1000,falling,gcc_50,2012-09-28,2012-09-25,2012-09-17,2012-09-30,2012-09-26,2012-09-20,2012-09-26,2012-09-23,2012-09-16,0.37435,0.38614,0.41561,0.3665,0.45943
bartlettir,DB,1000,falling,gcc_50,2011-10-08,2011-10-02,2011-09-20,2011-10-09,2011-10-05,2011-09-22,2011-10-06,2011-09-28,2011-09-18,0.37498,0.38981,0.41413,0.36688,0.46138
bartlettir,DB,1000,falling,gcc_50,2010-10-04,2010-09-26,2010-09-20,2010-10-07,2010-09-27,2010-09-22,2010-09-28,2010-09-24,2010-09-18,0.38588,0.3973,0.42077,0.37759,0.46266
bartlettir,DB,1000,falling,gcc_50,2009-10-04,2009-09-30,2009-09-23,2009-10-06,2009-10-01,2009-09-25,2009-10-02,2009-09-28,2009-09-22,0.36779,0.38225,0.41355,0.35879,0.46245
bartlettir,DB,1000,falling,gcc_50,2008-09-30,2008-09-26,2008-09-20,2008-10-02,2008-09-27,2008-09-22,2008-09-28,2008-09-24,2008-09-19,0.37453,0.38839,0.41807,0.36562,0.46612
bartlettir,DB,1000,falling,gcc_mean,2016-10-06,2016-10-02,2016-09-24,2016-10-08,2016-10-03,2016-09-26,2016-10-03,2016-09-30,2016-09-22,0.38195,0.39352,0.4224,0.37322,0.47079
bartlettir,DB,1000,falling,gcc_mean,2015-10-11,2015-10-06,2015-09-28,2015-10-12,2015-10-07,2015-09-30,2015-10-08,2015-10-04,2015-09-27,0.37153,0.3879,0.41997,0.36291,0.47347
bartlettir,DB,1000,falling,gcc_mean,2014-09-26,2014-09-23,2014-09-17,2014-09-27,2014-09-24,2014-09-19,2014-09-24,2014-09-21,2014-09-16,0.39645,0.40796,0.43482,0.39089,0.47435
bartlettir,DB,1000,falling,gcc_mean,2013-10-02,2013-09-27,2013-09-20,2013-10-04,2013-09-28,2013-09-22,2013-09-29,2013-09-25,2013-09-18,0.3778,0.39199,0.41919,0.36951,0.46724
bartlettir,DB,1000,falling,gcc_mean,2012-10-02,2012-09-26,2012-09-18,2012-10-14,2012-09-27,2012-09-20,2012-09-28,2012-09-24,2012-09-17,0.3681,0.38163,0.41138,0.35912,0.45902
bartlettir,DB,1000,falling,gcc_mean,2011-10-08,2011-10-01,2011-09-20,2011-10-09,2011-10-04,2011-09-22,2011-10-06,2011-09-28,2011-09-18,0.37575,0.39155,0.41492,0.36837,0.46142
bartlettir,DB,1000,falling,gcc_mean,2010-10-04,2010-09-27,2010-09-20,2010-10-06,2010-09-28,2010-09-22,2010-09-29,2010-09-25,2010-09-18,0.38511,0.39578,0.42071,0.37697,0.46419
bartlettir,DB,1000,falling,gcc_mean,2009-10-04,2009-09-30,2009-09-23,2009-10-06,2009-10-01,2009-09-25,2009-10-02,2009-09-28,2009-09-22,0.36678,0.38102,0.41182,0.35778,0.46147
bartlettir,DB,1000,falling,gcc_mean,2008-09-30,2008-09-26,2008-09-20,2008-10-01,2008-09-27,2008-09-22,2008-09-28,2008-09-24,2008-09-19,0.37212,0.38565,0.41692,0.36376,0.46664
