"","plotID","decimalLatitude","decimalLongitude","elevation","nlcdClass"
"15080","ABBY_034",45.758502,-122.389604,428.1,"evergreenForest"
"15081","ABBY_031",45.746174,-122.314267,555,"evergreenForest"
"15082","ABBY_039",45.729719,-122.363716,574.2,"shrubScrub"
"15083","ABBY_038",45.765077,-122.384566,496,"grasslandHerbaceous"
"15084","ABBY_032",45.76584,-122.376086,557.7,"evergreenForest"
"15085","ABBY_040",45.76825,-122.367574,519.8,"shrubScrub"
"15086","ABBY_033",45.77215,-122.363335,455.7,"mixedForest"
"15197","SJER_038",37.096437,-119.73524,339.1,"grasslandHerbaceous"
"15198","SJER_037",37.092865,-119.726034,350.5,"grasslandHerbaceous"
"15199","SJER_036",37.101331,-119.721285,386.5,"grasslandHerbaceous"
"15200","SJER_042",37.089955,-119.723575,322.6,"grasslandHerbaceous"
"15201","SJER_041",37.085395,-119.723127,316.1,"grasslandHerbaceous"
"15202","SJER_035",37.081507,-119.727648,318.7,"evergreenForest"
"15203","SJER_040",37.082013,-119.7411,346.6,"grasslandHerbaceous"
"15204","SJER_043",37.086793,-119.732525,325.5,"grasslandHerbaceous"
"15205","SJER_039",37.109009,-119.749511,391.2,"grasslandHerbaceous"
"15206","SJER_044",37.114513,-119.745324,430.9,"evergreenForest"
"15320","DEJU_042",63.844486,-145.737279,537.7,"woodyWetlands"
"15321","DEJU_039",63.851503,-145.736933,540.9,"evergreenForest"
"15322","DEJU_033",63.864961,-145.73574,549.8,"evergreenForest"
"15323","DEJU_040",63.873285,-145.732912,524.7,"evergreenForest"
"15324","DEJU_043",63.887112,-145.778116,505.9,"evergreenForest"
"15325","DEJU_041",63.897916,-145.780676,493.6,"evergreenForest"
"15326","DEJU_037",63.916239,-145.750582,459.4,"shrubScrub"
"15327","DEJU_036",63.921103,-145.752202,458.1,"shrubScrub"
"15328","DEJU_035",63.932166,-145.754125,450.9,"shrubScrub"
"15329","DEJU_034",63.93729,-145.755755,446.7,"shrubScrub"
"15380","HEAL_044",63.879,-149.183862,621.8,"dwarfScrub"
"15381","HEAL_036",63.881427,-149.198683,621.5,"shrubScrub"
"15382","HEAL_039",63.881591,-149.206627,641.3,"shrubScrub"
"15383","HEAL_038",63.880912,-149.216355,666,"shrubScrub"
"15384","HEAL_037",63.878625,-149.225342,686.7,"shrubScrub"
"15385","HEAL_043",63.879294,-149.23395,668,"shrubScrub"
"15386","HEAL_035",63.87629,-149.241179,674.9,"shrubScrub"
"15387","HEAL_042",63.874263,-149.246411,688,"dwarfScrub"
"15388","HEAL_040",63.875741,-149.255683,678.7,"shrubScrub"
"15389","HEAL_041",63.87887,-149.262034,668.8,"shrubScrub"
