"","plotID","decimalLatitude","decimalLongitude","elevation.y","nlcdClass.y"
"5485","JORN_041",32.609219,-106.863663,1328.1,"shrubScrub"
"5500","KONZ_032",39.086224,-96.572494,410.2,"grasslandHerbaceous"
"5555","KONZ_033",39.071228,-96.58335,431.5,"grasslandHerbaceous"
"5613","KONZ_034",39.085594,-96.596678,406.8,"grasslandHerbaceous"
"5675","KONZ_035",39.076911,-96.606432,426.4,"grasslandHerbaceous"
"5733","KONZ_036",39.094055,-96.611767,357.7,"deciduousForest"
"5785","KONZ_037",39.0839,-96.600671,428.6,"grasslandHerbaceous"
"5843","KONZ_038",39.094947,-96.590233,354.8,"grasslandHerbaceous"
"5898","KONZ_039",39.106898,-96.566224,412.6,"grasslandHerbaceous"
"5959","KONZ_040",39.075476,-96.575637,430.7,"grasslandHerbaceous"
"6016","KONZ_041",39.075844,-96.567301,428.6,"grasslandHerbaceous"
"6077","LAJA_031",18.025667,-67.082493,21.1,"pastureHay"
"6101","LAJA_032",18.03554,-67.066235,26.4,"grasslandHerbaceous"
"6125","LAJA_033",18.032874,-67.070234,26.8,"cultivatedCrops"
"6149","LAJA_034",18.024028,-67.08025,18.9,"pastureHay"
"6173","LAJA_035",18.036123,-67.070481,30.1,"grasslandHerbaceous"
"6197","LAJA_036",18.020018,-67.085962,15.8,"pastureHay"
"6221","LAJA_037",18.016367,-67.07324,14.4,"cultivatedCrops"
"6245","LAJA_038",18.031807,-67.074486,29.2,"evergreenForest"
"6270","LAJA_039",18.024505,-67.074566,20.3,"pastureHay"
"6294","LAJA_040",18.027481,-67.074539,23.5,"pastureHay"
"6318","LENO_032",31.818782,-88.186406,11.9,"deciduousForest"
"6339","LENO_033",31.81609,-88.184494,12.4,"woodyWetlands"
"6360","LENO_034",31.82551,-88.189346,12.3,"woodyWetlands"
"6381","LENO_035",31.820535,-88.18987,15.7,"woodyWetlands"
"6402","LENO_036",31.80954,-88.189759,11.9,"woodyWetlands"
"6423","LENO_037",31.816997,-88.199023,17.3,"woodyWetlands"
